Bellingshausen_TminMJ_Mean	Bellingshausen_Tmin_AGO	Bellingshausen_TMax_MAIO
-15.25	-17.7	2.1
-17.3	-24.4	0.5
-21.75	-20.2	1.3
-15.7	-18.6	1.4
-17.5	-23.5	3.2
-18.5	-18.9	0.8
-12.9	-21	1
-16.8	-23.6	3
-13.9	-18.7	2
-10.7	-21.5	2.5
-14.25	-18.7	3
-11.35	-17.7	1.2
-17.2	-20.5	3.2
-12.1	-18.8	2.7
-8.85	-18.8	2.6
-12.65	-9.2	1.6
-15	-12	1.1
-14.65	-10.1	1.7
-22.05	-18.6	0.2
-15.75	-19.5	0.7
-13.15	-20.5	1.7
-10.6	-8	2.2
-14.6	-19.5	1.6
-19.6	-28.5	2.4
-20	-17.9	1
-13.95	-15	4.5
-13	-18.4	3.1
-14.15	-22.8	2.6
-12.7	-11.9	2.8
-10.65	-17	2
-10.35	-17	1.6
-8.9	-14.8	2
-8.95	-15.7	2.1
-10.5	-10.8	3.3
-18.2	-13.8	2.3
-12.3	-14.5	2
-9.2	-13.4	3.3
-14.15	-13	2.6
-12.05	-19.7	3.5
-14.95	-14.9	1.1
-11.25	-12.7	3.6
-13.25	-25.1	2.7
-10.5	-15.6	1.7
-12.3	-17.3	2.7
-14.15	-15.8	2.8
-12.1	-19.2	1.9
-11.55	-16.2	2.9
-13.65	-18.3	2.2
-12.95	-18.6	2.5
-14.35	-17.1	3
-11.85	-13.9	2.6
-13	-19.9	1.8
-9.75	-17.6	1.7

