ESPERANZA_TMAX_FEV	ESPERANZA_TMAX_ABR	ESPERANZA_TMAX_AS	ESPERANZA_TMAX_NOV	ESPERANZA_TMIN_NOV
10.6	2.4	2.05	7.3	-13.5
5.5	1.4	0.45	3.7	-12.5
7.5	6.8	4.15	4.7	-12.4
8.6	1.4	5.4	11.4	-11
7.5	7	0.4	8.5	-7
9.4	3.8	3.7	7.2	-11.4
10.9	5.7	4.7	7.8	-10.9
2.8	6.5	3.9	4	-14
7.8	9.6	4.45	6.4	-11.5
7.8	5.7	3.95	6.8	-11
7.3	6	3.75	6.1	-9.9
10.2	7.2	3.6	6.6	-10.8
6.2	1.5	2.9	6.2	-10.2
9	4	4.5	6	-9.5
10	4	2.25	5.4	-9
5	3	3	3	-8.1
10.6	7	6.2	4.8	-7.5
8.4	3.8	1.5	5	-7.3
10.4	6.8	5.9	7.8	-6.8
8.7	5.7	4.05	4.5	-10
7	3.2	1.2	0.4	-11.8
8.7	7.9	5.55	4.3	-16.4
7	5.9	6.3	5	-12
7.1	11.5	4.85	5.5	-10.6
7	7.7	4.6	8	-6.6
8.5	6	4.9	6.1	-4.3
7.8	6.6	3.95	5	-9.6
7.2	6.4	6	6.6	-10
8.5	9	5.1	1.2	-9
0.4	4.1	6.5	6	-12
10.4	3.8	3.7	5	-11
6.8	4.4	7.7	5.8	-8.8
8.2	4.6	3.6	14.3	-8.4
7	6.1	3.25	7	-9.4
8.6	9.2	6.45	6.9	-7.1
6.8	4	3.5	8.1	-10.3
10.2	4	8.95	5.5	-8.9
9.7	4.6	3.7	4.6	-14.2
14.6	12	4.4	8	-7
7.4	11.2	3.15	6.2	-5.8
10.3	4.9	6.5	7.5	-7.2
6.7	4.5	7.6	4.6	-6.8
8.9	3.5	6.65	7.2	-7.5
8.1	7.5	8.8	5.5	-10.1
10.1	8.6	4.95	12.3	-6.1
7.8	4.1	3.9	11.5	-8.4
10	6.2	5.2	6	-6.4
7.9	-0.8	5.35	5.7	-15.4
9.4	3.6	4.8	8.4	-8.5
9.8	5.5	3.45	4	-12.1
9.8	10	7.8	11.4	-3.3
9.6	0.3	4.3	8	-8
7.2	10.8	7.3	6	-12
13.1	12.6	8	5.2	-9.3
9.6	9.6	9.2	10.5	-11.4
11	10	4.2	8.6	-11.9
14	12	5.95	6.5	-7
11.8	8.6	5.85	11.1	-12.8
9.6	4.7	3.6	7	-6
13	5.2	5.6	8.2	-8.4

