FARADAY_TminDJF_Mean 	FARADAY_TminMAM_Mean	FARADAY_TminJJA_Mean	FARADAY_TminSON_Mean 
-3.2	-7.2	-23.4	-21.1
-4.5	-12.1	-30.9	-25.1
-4.7	-19.2	-33.0	-24.9
-6.9	-11.5	-25.3	-20.8
-6.2	-7.7	-25.6	-20.7
-5.7	-16.0	-27.6	-23.4
-8.0	-24.8	-31.2	-21.7
-6.0	-15.9	-30.8	-19.8
-5.2	-9.3	-19.5	-17.1
-3.5	-5.8	-13.3	-11.5
-4.1	-8.3	-28.1	-17.0
-4.7	-14.7	-38.5	-19.2
-9.2	-25.0	-35.4	-24.3
-6.9	-15.2	-32.1	-19.1
-4.4	-6.7	-23.9	-22.4
-5.6	-8.5	-23.4	-21.9
-4.9	-9.9	-24.9	-26.3
-6.3	-14.3	-24.8	-18.1
-4.7	-7.5	-27.4	-22.6
-5.3	-9.4	-27.6	-20.3
-5.5	-9.0	-22.8	-19.4
-4.4	-6.2	-21.7	-24.0
-4.3	-13.1	-23.2	-17.0
-4.2	-8.8	-19.0	-13.3
-2.9	-6.6	-11.7	-12.8
-2.4	-5.8	-14.5	-11.2
-4.1	-8.4	-20.3	-15.0
-2.1	-5.7	-11.8	-15.1
-3.2	-7.1	-15.9	-15.9
-3.9	-10.5	-29.7	-22.7
-4.1	-7.5	-28.0	-21.2
-5.6	-12.2	-27.5	-24.9
-6.8	-10.9	-26.8	-19.9
-4.6	-12.4	-28.5	-19.9
-4.5	-9.5	-22.4	-23.9
-4.0	-7.2	-20.5	-23.5
-2.7	-6.2	-10.6	-15.5
-3.4	-6.7	-17.3	-13.6
-2.6	-5.5	-15.7	-12.6
-4.3	-7.6	-19.4	-24.9
-5.0	-8.4	-29.1	-26.1
-3.9	-7.6	-14.6	-13.2
-1.8	-4.6	-9.7	-7.3
-2.2	-7.0	-13.3	-14.0
-3.2	-7.4	-15.4	-16.5
-2.4	-10.1	-25.3	-16.9
-3.9	-8.8	-17.0	-14.2
-2.7	-6.0	-21.8	-16.3
-2.9	-7.5	-20.4	-16.4
-3.5	-6.9	-18.0	-15.2
-1.9	-7.2	-17.1	-11.9
-2.0	-3.7	-6.5	-11.8
-2.4	-2.3	-12.2	-14.6
-2.4	-7.1	-11.4	-11.9
-1.8	-4.6	-12.2	-17.5
-2.2	-8.8	-12.8	-9.2
-0.9	-6.2	-9.6	-14.2
-0.8	-5.5	-18.0	-13.8
-4.3	-7.0	-17.6	-12.2
-2.0	-5.2	-13.1	-9.1
-1.7	-6.1	-14.6	-12.2
-2.0	-6.0	-11.8	-11.0
-2.4	-6.2	-13.2	-9.3
-3.5	-5.5	-10.4	-7.5
-2.4	-4.8	-15.2	-13.9
-3.5	-5.9	-11.9	-13.8
-3.8	-4.5	-15.9	-21.4
-4.1	-5.3	-16.0	-14.8
-3.0	-8.2	-19.3	-17.4
-3.3	-7.9	-16.8	-13.7
-3.8	-5.6	-12.2	-15.9
-4.0	-5.3	-17.5	-13.8
-4.2	-6.6	-11.2	-15.6
-3.4	-6.9	-11.0	-9.5

