ROTHERA_TminJJA_mean 	ROTHERA_TminMAM_Mean 	ROTHERA_TminJAN 	ROTHERA_TminOUT 	ROTHERA_Tmax_MAR	ROTHERA_Tmax_JUL	ROTHERA_Tmax_OUT
-24.5	-12.5	-3.6	-24.3	3	-1.5	2.4
-28.6	-11.4	-4.7	-26.8	2.3	-2.8	-0.1
-27.1	-17.6	-4.8	-23.8	4	-8.2	1.3
-29.3	-13.8	-5.5	-18.6	3.7	1.8	2.3
-35.4	-19.7	-3.8	-24.7	1	0	1.4
-23.1	-14.4	-6.2	-27.4	2.9	-0.6	2.6
-24.9	-10.4	-2.8	-26.8	2.5	-1.1	1.2
-15.7	-8.7	-4.5	-18.6	4.5	0	0.8
-21.3	-9.5	-1.6	-15.2	6.7	2.1	2.6
-19.1	-8.2	-2.5	-12.5	3	0.8	2.7
-21.7	-11.7	-1.1	-21	3	-1.3	2.5
-30.7	-11.6	-3.4	-31.1	4.1	-6.5	2.3
-20.7	-10.5	-0.8	-13.7	3.5	1	4.1
-11.7	-7.0	-1	-8.9	4.9	2	1.5
-17.2	-9.4	-2.3	-15	4.4	0.6	0.6
-22.7	-9.9	-2.5	-15.3	1.2	-0.5	1.4
-29.1	-13.4	-4.3	-17.8	4.1	1.7	0.9
-21.5	-11.1	-3.3	-23.1	6.3	1.3	4.4
-29.3	-10.5	-2.2	-18.6	2.8	0.4	-0.2
-24.9	-11.1	-3.1	-12.7	6.8	-4.6	3.8
-25.3	-9.2	-1.5	-16.1	4.2	2.8	3.3
-27.1	-8.9	-2.5	-21.1	5.9	-1.9	2.4
-14.7	-8.8	-1.6	-12.4	5.6	0.2	1.5
-17.8	-5.6	-3.1	-12.8	4.6	0.3	3.4
-18.1	-9.7	-1.5	-17.4	4	2.4	2.9
-18.6	-8.5	-1.8	-10.3	5.7	0.9	2.6
-30.7	-12.9	-2.1	-26.1	3.1	2.1	2
-19.4	-11.0	-2.8	-17.6	6.2	0.6	1.2
-22.5	-9.0	-2.3	-18	5	2.1	4.5
-27.3	-11.7	-6.2	-16.4	3.1	1.5	3.5
-24.0	-9.1	-1.6	-18.3	3.2	1.1	3.8
-17.7	-8.6	-1.8	-14.5	4.5	-0.4	1.5
-16.5	-9.1	-0.9	-11.9	5.4	1.6	2.4
-20.7	-7.9	-1.3	-14.1	6.5	3	3.2
-18.4	-10.6	-3.2	-10.4	7.1	4.8	3.6
-19.9	-8.1	-2.3	-17.1	3.8	1.4	2.7
-18.0	-8.0	-1.2	-17	4.5	-0.1	1.2
-20.8	-8.6	-2.1	-14.4	6.3	1.4	1.8
-16.9	-7.4	-2.8	-17	1.7	1.4	2.6
-27.1	-11.5	-3.1	-15.3	7	0.3	3.2
-23.7	-11.8	-3.8	-12.1	4.5	3.8	3.8
-17.1	-7.6	-2.3	-10.2	6.3	0.9	1.1
-23.4	-7.5	-2.5	-18.3	3.7	2.9	3.3
-22.1	-9.9	-1.1	-18.2	3.5	0.4	3.8
-16.3	-8.2		-14.2	4.4	1.6	2

